frame,keypoints,Timestamp,Annotation
10,"[[[697.5429077148438, 96.05294799804688], [706.1061401367188, 86.19287109375], [684.4575805664062, 86.2576904296875], [718.0511474609375, 98.04698181152344], [662.9758911132812, 99.12030029296875], [745.281494140625, 167.2823486328125], [636.59033203125, 164.15782165527344], [777.6110229492188, 225.4409637451172], [576.15185546875, 219.53765869140625], [787.8870239257812, 237.77078247070312], [573.808349609375, 242.54986572265625], [723.4620361328125, 333.4543151855469], [652.6174926757812, 330.6672058105469], [714.5443725585938, 465.51763916015625], [628.0449829101562, 462.0362243652344], [683.8021240234375, 589.8402099609375], [581.5805053710938, 591.4132690429688]]]",0.3333333333333333,
11,"[[[697.588623046875, 95.85638427734375], [705.9590454101562, 86.16436767578125], [684.4806518554688, 86.1602783203125], [717.448974609375, 98.37481689453125], [662.6863403320312, 99.41009521484375], [744.592529296875, 167.87515258789062], [635.5498046875, 164.48123168945312], [776.529052734375, 225.90255737304688], [575.474853515625, 219.62139892578125], [788.5516357421875, 237.6048583984375], [572.7988891601562, 242.6546630859375], [722.5029296875, 333.8421936035156], [651.1934814453125, 330.9862976074219], [713.447998046875, 465.5299072265625], [624.7031860351562, 462.1415710449219], [684.5382690429688, 590.1112060546875], [579.5465087890625, 592.1690673828125]]]",0.3666666666666666,
12,"[[[697.14208984375, 95.95004272460938], [705.589599609375, 86.24661254882812], [684.0903930664062, 86.16925048828125], [717.1325073242188, 98.35800170898438], [662.2553100585938, 99.22262573242188], [743.6718139648438, 167.51611328125], [635.1102294921875, 164.47378540039062], [775.8875122070312, 225.17311096191406], [575.126708984375, 220.24246215820312], [788.6836547851562, 237.21978759765625], [572.7426147460938, 243.22314453125], [721.9453125, 332.51385498046875], [650.79541015625, 329.82763671875], [713.044677734375, 464.03955078125], [623.6049194335938, 460.81292724609375], [685.8229370117188, 588.9944458007812], [579.052490234375, 590.77587890625]]]",0.4,
13,"[[[696.9073486328125, 94.88510131835938], [705.5043334960938, 85.52679443359375], [683.6978759765625, 85.05020141601562], [716.9959716796875, 98.57843017578125], [661.37060546875, 98.7476806640625], [742.8260498046875, 167.89129638671875], [634.28955078125, 164.99276733398438], [775.6388549804688, 224.46170043945312], [574.58984375, 220.92263793945312], [788.121826171875, 237.33493041992188], [573.6372680664062, 243.53448486328125], [721.3460083007812, 333.91265869140625], [650.0213623046875, 331.26568603515625], [712.734619140625, 465.3725280761719], [622.7966918945312, 461.92169189453125], [685.816162109375, 590.3613891601562], [577.2593994140625, 590.7849731445312]]]",0.4333333333333333,
14,"[[[696.7297973632812, 94.29510498046875], [705.3026733398438, 85.07144165039062], [683.3909912109375, 84.52450561523438], [716.8162841796875, 98.51473999023438], [660.7828369140625, 98.65403747558594], [743.1468505859375, 168.25518798828125], [633.685791015625, 165.07965087890625], [776.46875, 224.43447875976562], [574.2256469726562, 220.45669555664062], [788.3028564453125, 237.23104858398438], [574.0950927734375, 244.3426513671875], [721.58740234375, 334.7360534667969], [649.5320434570312, 331.8966369628906], [712.5457763671875, 466.36566162109375], [621.289794921875, 462.49169921875], [686.1024780273438, 590.8865356445312], [575.8192138671875, 591.0178833007812]]]",0.4666666666666667,
15,"[[[696.99853515625, 94.04867553710938], [705.4095458984375, 84.90130615234375], [683.593017578125, 84.35812377929688], [716.5330810546875, 98.42904663085938], [660.5838623046875, 98.55841064453125], [742.8084716796875, 168.44351196289062], [633.3416748046875, 164.86279296875], [776.802001953125, 224.4801788330078], [574.4517822265625, 219.47445678710938], [788.9874267578125, 237.19375610351562], [572.8605346679688, 243.91360473632812], [720.7894287109375, 334.7886962890625], [648.7765502929688, 331.72271728515625], [712.1205444335938, 466.60546875], [620.7977294921875, 462.4151611328125], [685.633056640625, 590.246337890625], [575.473388671875, 590.3307495117188]]]",0.5,
16,"[[[697.11767578125, 94.033935546875], [705.49072265625, 84.94093322753906], [683.6305541992188, 84.3914794921875], [716.5165405273438, 98.60964965820312], [660.4119873046875, 98.7586669921875], [742.8270263671875, 168.59869384765625], [633.1868286132812, 165.03387451171875], [777.145263671875, 224.1370391845703], [573.8623657226562, 219.24581909179688], [789.2713623046875, 236.9095458984375], [572.2404174804688, 244.00146484375], [721.0245361328125, 334.85101318359375], [648.8846435546875, 331.77484130859375], [711.980712890625, 466.9378967285156], [620.2000122070312, 462.6663513183594], [685.900390625, 590.35009765625], [574.6890869140625, 590.3271484375]]]",0.5333333333333333,
17,"[[[697.2503051757812, 93.68862915039062], [705.679931640625, 84.64736938476562], [683.7164916992188, 84.02883911132812], [716.7742919921875, 98.47862243652344], [660.4266357421875, 98.52593994140625], [743.0448608398438, 168.70059204101562], [633.1345825195312, 164.9989013671875], [777.2259521484375, 224.4065704345703], [573.6531372070312, 219.39549255371094], [789.15869140625, 236.864501953125], [572.4746704101562, 244.2330322265625], [721.1151123046875, 334.5992736816406], [648.7639770507812, 331.44854736328125], [712.0205078125, 466.754150390625], [619.7543334960938, 462.31671142578125], [686.1959838867188, 590.3802490234375], [574.2652587890625, 590.1724853515625]]]",0.5666666666666667,
18,"[[[697.1286010742188, 93.57742309570312], [705.655517578125, 84.43824768066406], [683.494140625, 83.90534973144531], [717.0045776367188, 98.18869018554688], [660.401611328125, 98.46371459960938], [743.1056518554688, 168.54803466796875], [633.5328369140625, 164.99960327148438], [776.8599243164062, 224.28988647460938], [573.6528930664062, 219.261474609375], [789.0328369140625, 236.73773193359375], [572.4056396484375, 243.83416748046875], [721.0822143554688, 334.5858459472656], [648.982421875, 331.50115966796875], [712.102294921875, 466.44940185546875], [620.0963134765625, 462.1439208984375], [686.32080078125, 590.1162109375], [574.4525146484375, 590.2552490234375]]]",0.6,
19,"[[[697.26513671875, 92.97662353515625], [705.8391723632812, 83.7003173828125], [683.4091186523438, 83.43487548828125], [717.6017456054688, 97.47377014160156], [660.7088012695312, 98.50428771972656], [743.8278198242188, 168.40713500976562], [634.3997192382812, 165.36131286621094], [777.014892578125, 224.61195373535156], [573.853759765625, 219.8079833984375], [788.9400024414062, 236.87570190429688], [573.1013793945312, 244.05560302734375], [720.998291015625, 334.9436340332031], [649.0855712890625, 332.0392150878906], [712.3745727539062, 466.2899475097656], [620.8395385742188, 462.3232116699219], [686.4971313476562, 589.1666259765625], [574.9321899414062, 590.2719116210938]]]",0.6333333333333333,
20,"[[[697.7476806640625, 92.44784545898438], [706.118896484375, 83.25387573242188], [683.8009643554688, 83.10919189453125], [717.614990234375, 97.33355712890625], [661.0746459960938, 98.73863220214844], [744.1795654296875, 168.39373779296875], [634.8502807617188, 165.294921875], [776.9789428710938, 225.46176147460938], [574.3723754882812, 220.074462890625], [788.456298828125, 236.77716064453125], [573.617919921875, 243.80535888671875], [721.3128662109375, 334.543212890625], [649.490234375, 331.6304626464844], [712.617919921875, 466.02703857421875], [621.2724609375, 462.1365966796875], [686.8475952148438, 589.418212890625], [575.4529418945312, 591.1123046875]]]",0.6666666666666666,
21,"[[[698.4076538085938, 92.48904418945312], [706.6024169921875, 83.29530334472656], [684.485595703125, 83.17997741699219], [717.8106079101562, 97.28179931640625], [661.6012573242188, 98.695068359375], [744.3385009765625, 168.21585083007812], [635.4393920898438, 165.07296752929688], [777.5307006835938, 225.0867462158203], [574.3865966796875, 219.70382690429688], [788.5823364257812, 236.46444702148438], [573.7593383789062, 243.29611206054688], [721.6676025390625, 334.153564453125], [650.2653198242188, 331.26593017578125], [713.31298828125, 465.7494812011719], [623.5126953125, 461.8559875488281], [686.2671508789062, 588.931884765625], [576.394287109375, 590.5750732421875]]]",0.7,
22,"[[[698.9716796875, 93.30625915527344], [707.0575561523438, 83.93881225585938], [685.070068359375, 83.94198608398438], [718.0235595703125, 97.4268798828125], [661.938720703125, 98.88925170898438], [744.3389892578125, 168.2802734375], [635.5106201171875, 165.0400390625], [777.8190307617188, 225.46849060058594], [574.3457641601562, 219.95321655273438], [788.9428100585938, 236.47769165039062], [574.0101318359375, 243.1123046875], [721.390380859375, 334.3243408203125], [650.3163452148438, 331.4959411621094], [713.8309936523438, 466.5522766113281], [626.1171875, 462.80352783203125], [684.5511474609375, 588.6068115234375], [577.9222412109375, 590.5653686523438]]]",0.7333333333333333,
23,"[[[701.0072631835938, 94.72625732421875], [708.3558959960938, 85.35650634765625], [687.346435546875, 85.31047058105469], [717.5472412109375, 98.13511657714844], [662.8001708984375, 99.06423950195312], [743.5393676757812, 168.009765625], [634.9144287109375, 164.3992462158203], [778.0626831054688, 225.68588256835938], [574.1522827148438, 220.311279296875], [788.4776000976562, 236.72125244140625], [574.7830810546875, 243.13491821289062], [722.344970703125, 333.20751953125], [651.8911743164062, 330.5662536621094], [714.7693481445312, 465.9284362792969], [631.5285034179688, 462.4512634277344], [682.3258056640625, 588.81396484375], [582.8902587890625, 590.5426025390625]]]",0.7666666666666667,
24,"[[[700.9742431640625, 96.23526000976562], [708.2557983398438, 86.49452209472656], [687.3113403320312, 86.79928588867188], [717.6377563476562, 98.58499145507812], [663.1268920898438, 100.02789306640625], [744.4923706054688, 168.70236206054688], [635.7778930664062, 165.13674926757812], [779.8193359375, 227.0779266357422], [574.8239135742188, 220.79812622070312], [789.0443115234375, 237.58880615234375], [575.0623779296875, 242.513427734375], [722.6109619140625, 334.8626708984375], [652.76220703125, 332.3240966796875], [716.4127807617188, 467.01708984375], [637.9752807617188, 463.8210144042969], [678.4738159179688, 586.2147216796875], [587.076416015625, 588.7261962890625]]]",0.8,
25,"[[[700.9689331054688, 97.06434631347656], [708.1983642578125, 87.5911865234375], [687.3096313476562, 87.864501953125], [717.7865600585938, 99.8382568359375], [663.4747314453125, 101.29698181152344], [744.0686645507812, 169.09927368164062], [637.181396484375, 165.71307373046875], [779.3968505859375, 225.447509765625], [575.6318969726562, 219.28794860839844], [788.2816162109375, 237.62677001953125], [575.0822143554688, 241.664794921875], [722.5543823242188, 335.9710998535156], [653.99072265625, 333.69927978515625], [721.039306640625, 464.78643798828125], [644.7301025390625, 461.71356201171875], [681.5418090820312, 583.7513427734375], [591.2070922851562, 586.020751953125]]]",0.8333333333333334,
26,"[[[700.6798095703125, 98.26455688476562], [708.109375, 88.77862548828125], [687.0338745117188, 89.129150390625], [718.101318359375, 100.84019470214844], [663.9276123046875, 102.35218811035156], [744.0615234375, 169.75697326660156], [638.562744140625, 166.61972045898438], [780.9572143554688, 225.07998657226562], [574.13330078125, 219.00440979003906], [789.33056640625, 238.29620361328125], [573.1001586914062, 241.18014526367188], [722.4589233398438, 334.47637939453125], [656.3379516601562, 332.4674072265625], [721.9129638671875, 462.1466369628906], [656.3180541992188, 459.0332336425781], [677.65771484375, 580.569091796875], [602.7523803710938, 582.3787231445312]]]",0.8666666666666667,
27,"[[[700.4603881835938, 99.10787963867188], [707.9300537109375, 89.56097412109375], [686.7991943359375, 90.05877685546875], [717.88623046875, 101.06053161621094], [663.7689208984375, 102.81509399414062], [743.2291870117188, 169.3109130859375], [638.3812866210938, 167.353515625], [781.0535888671875, 222.15176391601562], [573.2719116210938, 217.76611328125], [788.8367919921875, 238.3436279296875], [572.6915283203125, 240.58016967773438], [723.6004638671875, 333.06036376953125], [659.2256469726562, 331.9501953125], [723.7063598632812, 458.84161376953125], [668.0524291992188, 456.6329345703125], [677.9805908203125, 574.9674072265625], [619.933837890625, 576.935302734375]]]",0.9,
28,"[[[698.0602416992188, 99.91526794433594], [706.3984375, 90.30194091796875], [684.6849365234375, 90.62832641601562], [717.8917846679688, 101.6839599609375], [663.4364624023438, 102.98448181152344], [743.3790283203125, 169.1633758544922], [638.7056274414062, 167.4766845703125], [780.5540771484375, 221.36297607421875], [572.7825317382812, 217.77406311035156], [788.8499755859375, 238.21685791015625], [572.9651489257812, 240.39239501953125], [723.393310546875, 330.9072265625], [660.6753540039062, 330.09698486328125], [723.3121337890625, 453.5126953125], [677.7842407226562, 451.49810791015625], [673.0164794921875, 572.9658203125], [633.392333984375, 574.5277709960938]]]",0.9333333333333332,
29,"[[[697.5105590820312, 101.36917114257812], [705.9341430664062, 91.47454833984375], [684.150146484375, 91.83503723144531], [717.3062744140625, 102.3148193359375], [662.9102783203125, 103.47601318359375], [742.4969482421875, 168.7724609375], [637.9337768554688, 167.06478881835938], [778.441162109375, 220.16522216796875], [571.7206420898438, 217.31756591796875], [788.5724487304688, 236.08453369140625], [573.0444946289062, 240.43014526367188], [724.1012573242188, 327.12872314453125], [662.6177368164062, 326.9360046386719], [725.1861572265625, 448.4708251953125], [687.6029052734375, 447.4317932128906], [671.7800903320312, 575.7255859375], [647.0947265625, 578.78466796875]]]",0.9666666666666668,
30,"[[[696.8191528320312, 101.64498901367188], [705.4223022460938, 91.63519287109375], [683.6928100585938, 91.82180786132812], [716.73828125, 102.24334716796875], [662.6173095703125, 102.718994140625], [741.8160400390625, 167.56153869628906], [637.274169921875, 165.88909912109375], [777.3919677734375, 219.11102294921875], [571.2542114257812, 216.88314819335938], [787.3169555664062, 236.87103271484375], [573.197509765625, 240.0457763671875], [724.6205444335938, 324.57867431640625], [664.0465087890625, 324.86676025390625], [727.9507446289062, 443.8901672363281], [697.370849609375, 443.52691650390625], [669.8045043945312, 575.3490600585938], [658.0751342773438, 578.364501953125]]]",1.0,"Significant increase in EEG amplitude across channels AF3, AF4, F3, and F4 indicating potential cognitive load or stress."
31,"[[[696.6670532226562, 101.22360229492188], [705.23486328125, 90.85185241699219], [683.23291015625, 91.46186828613281], [716.6334228515625, 101.1517333984375], [662.4371948242188, 102.57041931152344], [742.056640625, 165.9991912841797], [637.455078125, 165.09793090820312], [776.5232543945312, 217.70726013183594], [570.4405517578125, 216.8550567626953], [787.3556518554688, 236.00833129882812], [574.251220703125, 241.03851318359375], [724.626953125, 320.8272705078125], [665.1019897460938, 321.88995361328125], [729.53955078125, 439.5531005859375], [706.2412109375, 440.61968994140625], [667.2691650390625, 575.9080200195312], [668.4179077148438, 581.6363525390625]]]",1.0333333333333334,"Significant increase in EEG amplitude across channels AF3, AF4, F3, and F4 indicating potential cognitive load or stress."
32,"[[[696.4497680664062, 100.81756591796875], [705.0367431640625, 90.26669311523438], [682.9002685546875, 91.04885864257812], [716.3486328125, 100.54254150390625], [662.0289916992188, 102.36685180664062], [742.044677734375, 165.59548950195312], [636.7720947265625, 164.74746704101562], [776.25439453125, 218.1542510986328], [570.5924072265625, 216.52017211914062], [786.4266357421875, 236.01666259765625], [573.927001953125, 240.725830078125], [725.4559936523438, 319.0877685546875], [666.0828857421875, 320.49798583984375], [731.3082885742188, 436.622802734375], [712.0966186523438, 438.1552429199219], [670.9675903320312, 574.261962890625], [681.1403198242188, 581.177734375]]]",1.0666666666666669,"Significant increase in EEG amplitude across channels AF3, AF4, F3, and F4 indicating potential cognitive load or stress."
33,"[[[696.107177734375, 100.35951232910156], [704.8494262695312, 89.74609375], [682.5843505859375, 90.65493774414062], [716.5248413085938, 100.02638244628906], [662.1991577148438, 102.12380981445312], [742.670654296875, 165.61415100097656], [636.9961547851562, 164.12722778320312], [776.84375, 219.2529296875], [571.3370971679688, 215.50314331054688], [786.0511474609375, 235.28094482421875], [574.4520874023438, 240.11517333984375], [725.8260498046875, 318.6541748046875], [666.495849609375, 319.90509033203125], [732.6097412109375, 435.58489990234375], [715.43603515625, 436.739990234375], [674.2154541015625, 571.7839965820312], [688.9436645507812, 579.2244262695312]]]",1.1,"Significant increase in EEG amplitude across channels AF3, AF4, F3, and F4 indicating potential cognitive load or stress."
34,"[[[695.9962158203125, 100.60243225097656], [704.8469848632812, 89.73046875], [682.5267333984375, 90.76480102539062], [716.6996459960938, 99.67549133300781], [662.612548828125, 102.03445434570312], [742.5885009765625, 165.73858642578125], [636.942626953125, 164.00726318359375], [776.3139038085938, 220.50390625], [571.1486206054688, 215.94422912597656], [785.074951171875, 234.93197631835938], [575.5911865234375, 239.94674682617188], [725.07080078125, 319.6321105957031], [666.0073852539062, 320.95086669921875], [732.5108642578125, 439.24737548828125], [716.845703125, 440.4828186035156], [677.899658203125, 581.9612426757812], [695.1690673828125, 590.1669311523438]]]",1.1333333333333333,"Significant increase in EEG amplitude across channels AF3, AF4, F3, and F4 indicating potential cognitive load or stress."
35,"[[[696.0878295898438, 100.73358154296875], [704.9697875976562, 89.96693420410156], [682.6600952148438, 90.94781494140625], [716.664794921875, 99.87002563476562], [662.5184326171875, 102.2572021484375], [742.1528930664062, 165.7056121826172], [636.5554809570312, 164.568115234375], [775.9508666992188, 219.93728637695312], [571.2677612304688, 216.11097717285156], [785.720703125, 234.99691772460938], [574.7730712890625, 239.81985473632812], [727.4279174804688, 319.9431457519531], [668.1986083984375, 321.4879150390625], [731.1014404296875, 443.2447204589844], [713.5630493164062, 444.5814208984375], [684.8360595703125, 588.4456787109375], [699.3040771484375, 596.214111328125]]]",1.1666666666666667,
36,"[[[695.810546875, 100.83421325683594], [704.9466552734375, 90.15354919433594], [682.5003051757812, 90.92672729492188], [716.857421875, 100.02766418457031], [662.2941284179688, 102.01492309570312], [742.006591796875, 165.74705505371094], [636.1368408203125, 164.87997436523438], [775.42724609375, 219.8050079345703], [571.3474731445312, 216.4398193359375], [785.402587890625, 235.03485107421875], [574.2755737304688, 239.18215942382812], [729.5057983398438, 320.927734375], [670.08544921875, 322.6034851074219], [730.1520385742188, 446.5716247558594], [712.626953125, 447.8653869628906], [689.0533447265625, 591.723388671875], [704.2215576171875, 598.6401977539062]]]",1.2,
37,"[[[695.7817993164062, 100.72113037109375], [705.2421264648438, 90.20147705078125], [682.5133056640625, 90.76287841796875], [717.4860229492188, 100.41407775878906], [662.389404296875, 102.13693237304688], [742.1173095703125, 166.42819213867188], [635.855712890625, 165.53501892089844], [774.91845703125, 220.8038330078125], [571.4539184570312, 217.32659912109375], [785.4154663085938, 235.44039916992188], [574.5185546875, 239.13424682617188], [730.2342529296875, 322.963134765625], [670.5386352539062, 324.5863037109375], [727.5715942382812, 451.0192565917969], [709.9071655273438, 452.11138916015625], [692.3327026367188, 597.04296875], [707.8155517578125, 603.4176025390625]]]",1.2333333333333334,
38,"[[[696.4732055664062, 101.28544616699219], [705.9473876953125, 90.810546875], [683.07421875, 91.23255920410156], [718.0958862304688, 100.924560546875], [662.210205078125, 102.43829345703125], [742.3421020507812, 167.4831085205078], [635.7059936523438, 166.51527404785156], [775.1512451171875, 221.8096923828125], [571.2058715820312, 217.9871826171875], [785.9189453125, 236.03717041015625], [574.8182373046875, 239.3990478515625], [733.5890502929688, 325.7343444824219], [673.2337646484375, 327.3502502441406], [728.0835571289062, 455.4511413574219], [707.6679077148438, 456.1591491699219], [698.9923706054688, 598.6952514648438], [709.5448608398438, 604.2745971679688]]]",1.2666666666666666,
39,"[[[696.5397338867188, 101.44174194335938], [706.0386962890625, 91.17385864257812], [683.3050537109375, 91.34806823730469], [717.94482421875, 101.49333190917969], [662.3049926757812, 102.45034790039062], [741.864501953125, 168.0011749267578], [635.3714599609375, 166.86221313476562], [774.9834594726562, 221.91983032226562], [571.2667236328125, 217.99465942382812], [786.5912475585938, 236.7464599609375], [574.9088134765625, 239.2174072265625], [734.7609252929688, 327.4123840332031], [674.2487182617188, 328.94854736328125], [727.390380859375, 458.9294128417969], [705.4830932617188, 459.3535461425781], [702.0216674804688, 601.598876953125], [710.048828125, 606.1829223632812]]]",1.3,
40,"[[[696.6150512695312, 101.81765747070312], [706.1309814453125, 91.63671875], [683.4677124023438, 91.728515625], [717.9630737304688, 102.0123291015625], [662.4437866210938, 102.73893737792969], [741.7047729492188, 168.4374237060547], [635.359130859375, 166.78768920898438], [774.8834228515625, 222.55824279785156], [571.5084838867188, 217.47613525390625], [786.05615234375, 237.03204345703125], [574.1226196289062, 238.71987915039062], [734.1365356445312, 328.170654296875], [673.664306640625, 329.4666748046875], [727.5687866210938, 458.7975158691406], [705.503662109375, 458.82720947265625], [702.151123046875, 600.603515625], [709.9495239257812, 604.7828369140625]]]",1.3333333333333333,
41,"[[[696.7571411132812, 101.66404724121094], [706.2273559570312, 91.50807189941406], [683.540771484375, 91.637939453125], [718.0264892578125, 101.89787292480469], [662.3975219726562, 102.74720764160156], [741.6903076171875, 168.45191955566406], [635.4175415039062, 166.60009765625], [774.6517333984375, 222.6563262939453], [571.418212890625, 216.98651123046875], [786.0491943359375, 237.14437866210938], [574.3720092773438, 238.89828491210938], [734.3677978515625, 328.3432312011719], [673.8329467773438, 329.5431823730469], [727.3806762695312, 459.13372802734375], [704.5985107421875, 458.9972229003906], [702.9326171875, 600.1724853515625], [709.218017578125, 604.4915161132812]]]",1.3666666666666667,
42,"[[[696.8351440429688, 101.57504272460938], [706.2432861328125, 91.41207885742188], [683.5979614257812, 91.54386901855469], [717.9003295898438, 101.83038330078125], [662.3114624023438, 102.64712524414062], [741.9754028320312, 168.51638793945312], [635.3163452148438, 166.46075439453125], [775.37353515625, 223.3446044921875], [571.50048828125, 217.2255401611328], [786.1630859375, 237.0372314453125], [574.5147705078125, 238.79193115234375], [734.76025390625, 328.89306640625], [674.1206665039062, 329.9619140625], [726.9647827148438, 460.02813720703125], [704.9769897460938, 459.6589660644531], [701.3501586914062, 601.3705444335938], [709.2428588867188, 605.4888305664062]]]",1.4,
